Monto	Unidad Monetaria	Valor UF	M2	Baños	Dormitorios	Comuna
330000	CLP	8,42	33	1	1	Santiago
300000	CLP	7,66	38	1	1	Santiago
400000	CLP	10,21	38	1	1	Santiago
250000	CLP	6,38	25	1	1	Santiago
340000	CLP	8,68	58	1	2	Santiago
450000	CLP	11,49	42	1	2	Santiago
400000	CLP	10,21	48	1	2	Santiago
490000	CLP	12,51	57	2	2	Santiago
570000	CLP	14,55	50	2	2	Santiago
270000	CLP	6,89	26	1	1	Santiago
300000	CLP	7,66	34	1	1	Santiago
480000	CLP	12,25	56	2	2	Santiago
285000	CLP	7,27	30	1	1	Santiago
470000	CLP	12	50	2	2	Santiago
360000	CLP	9,19	35	1	1	Santiago
480000	CLP	12,25	43	2	2	Santiago
260000	CLP	6,64	23	1	1	Santiago
480000	CLP	12,25	52	2	2	Santiago
260000	CLP	6,64	23	1	1	Santiago
260000	CLP	6,64	23	1	1	Santiago
510000	CLP	13,02	60	2	2	Santiago
360000	CLP	9,19	34	1	1	Santiago
480000	CLP	12,25	51	2	2	Santiago
360000	CLP	9,19	27	1	1	Santiago
295000	CLP	7,53	34	1	1	Santiago
310000	CLP	7,91	35	1	1	Santiago
620000	CLP	15,82	45	2	2	Santiago
280000	CLP	7,15	30	1	1	Santiago
350000	CLP	8,93	34	1	1	Santiago
340000	CLP	8,68	27	1	1	Santiago
350000	CLP	8,93	38	1	1	Santiago
360000	CLP	9,19	35	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
300000	CLP	7,66	25	1	1	Santiago
340000	CLP	8,68	32	1	1	Santiago
360000	CLP	9,19	37	1	1	Santiago
360000	CLP	9,19	37	1	1	Santiago
330000	CLP	8,42	32	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
340000	CLP	8,68	40	2	2	Santiago
246000	CLP	6,28	17	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
255000	CLP	6,51	24	1	1	Santiago
300000	CLP	7,66	24	1	1	Santiago
360000	CLP	9,19	37	1	1	Santiago
300000	CLP	7,66	38	1	1	Santiago
320000	CLP	8,17	36	1	1	Santiago
315000	CLP	8,04	38	1	1	Santiago
295000	CLP	7,53	34	1	1	Santiago
385000	CLP	9,83	48	1	2	Santiago
370000	CLP	9,44	32	1	1	Santiago
300000	CLP	7,66	38	1	1	Santiago
300000	CLP	7,66	38	1	1	Santiago
300000	CLP	7,66	34	1	1	Santiago
650000	CLP	16,59	85	2	3	Santiago
300000	CLP	7,66	42	1	2	Santiago
300000	CLP	7,66	32	1	1	Santiago
449000	CLP	11,46	55	2	2	Santiago
580000	CLP	14,8	62	2	2	Santiago
430000	CLP	10,98	49	2	2	Santiago
530000	CLP	13,53	67	2	2	Santiago
400000	CLP	10,21	30	1	1	Santiago
350000	CLP	8,93	30	1	1	Santiago
9	UF	9	34	1	1	Santiago
340000	CLP	8,68	42	1	2	Santiago
390000	CLP	9,95	38	1	2	Santiago
520000	CLP	13,27	65	2	3	Santiago
240000	CLP	6,13	20	1	1	Santiago
290000	CLP	7,4	32	1	1	Santiago
550000	CLP	14,04	54	1	2	Santiago
390000	CLP	9,95	38	1	2	Santiago
350000	CLP	8,93	33	1	1	Santiago
430000	CLP	10,98	65	2	2	Santiago
490000	CLP	12,51	61	2	2	Santiago
390000	CLP	9,95	31	1	1	Santiago
490000	CLP	12,51	53	2	2	Santiago
490000	CLP	12,51	55	2	2	Santiago
250000	CLP	6,38	33	1	1	Santiago
430000	CLP	10,98	45	2	2	Santiago
250000	CLP	6,38	28	1	1	Santiago
440000	CLP	11,23	54	2	2	Santiago
380000	CLP	9,7	47	2	2	Santiago
340000	CLP	8,68	44	2	2	Santiago
250000	CLP	6,38	22	1	1	Santiago
450000	CLP	11,49	55	2	2	Santiago
325000	CLP	8,3	30	1	1	Santiago
475000	CLP	12,12	70	2	3	Santiago
450000	CLP	11,49	58	2	2	Santiago
280000	CLP	7,15	33	1	1	Santiago
318500	CLP	8,13	52	2	2	Santiago
390000	CLP	9,95	58	2	2	San Miguel
420000	CLP	10,72	40	1	2	San Miguel
280000	CLP	7,15	30	1	1	San Miguel
450000	CLP	11,49	48	1	2	San Miguel
630000	CLP	16,08	62	2	3	San Miguel
520000	CLP	13,27	55	2	2	San Miguel
380000	CLP	9,7	38	1	1	San Miguel
290000	CLP	7,4	31	1	1	San Miguel
680000	CLP	17,36	75	2	3	San Miguel
500000	CLP	12,76	59	2	2	San Miguel
450000	CLP	11,49	50	2	2	San Miguel
450000	CLP	11,49	60	2	2	San Miguel
400000	CLP	10,21	45	1	2	San Miguel
370000	CLP	9,44	32	1	1	San Miguel
490000	CLP	12,51	65	2	3	San Miguel
450000	CLP	11,49	40	1	2	San Miguel
550000	CLP	14,04	70	2	3	San Miguel
360000	CLP	9,19	50	1	3	San Miguel
280000	CLP	7,15	28	1	1	San Miguel
250000	CLP	6,38	26	1	1	San Miguel
370000	CLP	9,44	49	1	2	San Miguel
265000	CLP	6,76	28	1	1	San Miguel
560000	CLP	14,29	72	2	3	San Miguel
420000	CLP	10,72	45	2	2	San Miguel
330000	CLP	8,42	37	1	1	San Miguel
500000	CLP	12,76	63	2	3	San Miguel
280000	CLP	7,15	29	1	1	San Miguel
430000	CLP	10,98	50	1	2	San Miguel
380000	CLP	9,7	39	1	2	San Miguel
360000	CLP	9,19	35	1	1	San Miguel
420000	CLP	10,72	50	2	2	San Miguel
470000	CLP	12	56	2	2	San Miguel
380000	CLP	9,7	50	2	2	San Miguel
340000	CLP	8,68	56	1	3	San Miguel
480000	CLP	12,25	75	2	2	San Miguel
450000	CLP	11,49	63	2	2	San Miguel
480000	CLP	12,25	60	2	2	San Miguel
355000	CLP	9,06	44	1	2	San Miguel
580000	CLP	14,8	76	2	3	San Miguel
240000	CLP	6,13	24	1	1	San Miguel
510000	CLP	13,02	48	2	2	San Miguel
350000	CLP	8,93	41	1	2	San Miguel
240000	CLP	6,13	28	1	1	San Miguel
320000	CLP	8,17	34	1	1	San Miguel
480000	CLP	12,25	57	2	2	San Miguel
300000	CLP	7,66	30	1	1	San Miguel
350000	CLP	8,93	36	1	1	San Miguel
300000	CLP	7,66	30	1	1	San Miguel
300000	CLP	7,66	33	1	1	Santiago
410000	CLP	10,46	55	2	3	Santiago
450000	CLP	11,49	65	1	2	Santiago
350000	CLP	8,93	35	1	1	Santiago
485000	CLP	12,38	66	2	2	Santiago
196000	CLP	5	33	1	1	Santiago
420000	CLP	10,72	72	2	2	Santiago
550000	CLP	14,04	65	2	2	Santiago
395000	CLP	10,08	30	1	2	Santiago
12	UF	12	53	2	2	Santiago
315000	CLP	8,04	36	1	1	Santiago
450000	CLP	11,49	75	2	3	Santiago
750000	CLP	19,14	60	2	2	Santiago
445000	CLP	11,36	44	1	1	Santiago
430000	CLP	10,98	75	2	3	Santiago
280000	CLP	7,15	32	1	1	Santiago
290000	CLP	7,4	30	1	1	Santiago
240000	CLP	6,13	25	1	1	Santiago
310000	CLP	7,91	42	1	1	Santiago
350000	CLP	8,93	25	1	1	Santiago
295000	CLP	7,53	37	1	1	Santiago
550000	CLP	14,04	55	2	2	Santiago
320000	CLP	8,17	47	1	1	Santiago
450000	CLP	11,49	42	1	2	Santiago
290000	CLP	7,4	35	1	1	Santiago
440000	CLP	11,23	50	2	2	Santiago
510000	CLP	13,02	42	1	1	Santiago
350000	CLP	8,93	35	1	1	Santiago
230000	CLP	5,87	47	1	3	Santiago
320000	CLP	8,17	35	1	1	Santiago
11	UF	11	28	1	1	Santiago
430000	CLP	10,98	57	1	1	Santiago
350000	CLP	8,93	42	2	2	Santiago
320000	CLP	8,17	40	1	1	Santiago
440000	CLP	11,23	58	2	2	Santiago
300000	CLP	7,66	21	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
350000	CLP	8,93	42	1	1	Santiago
340000	CLP	8,68	35	1	1	Santiago
335000	CLP	8,55	35	1	1	Santiago
285000	CLP	7,27	35	1	1	Santiago
495000	CLP	12,63	61	2	2	Santiago
250000	CLP	6,38	37	1	1	Santiago
330000	CLP	8,42	30	1	1	Santiago
550000	CLP	14,04	80	2	3	Santiago
525000	CLP	13,4	60	2	2	Santiago
250000	CLP	6,38	22	1	1	Santiago
340000	CLP	8,68	30	1	1	Santiago
350000	CLP	8,93	44	1	2	Santiago
450000	CLP	11,49	55	2	2	Santiago
400000	CLP	10,21	80	2	2	Santiago
280000	CLP	7,15	30	1	1	Santiago
360000	CLP	9,19	35	1	2	Santiago
575000	CLP	14,68	47	2	2	Santiago
350000	CLP	8,93	40	1	1	Santiago
249000	CLP	6,36	25	1	1	Santiago
280000	CLP	7,15	29	1	1	Santiago
380000	CLP	9,7	52	1	3	Santiago
230000	CLP	5,87	25	1	1	Santiago
547000	CLP	13,96	51	2	2	Santiago
440000	CLP	11,23	53	2	2	Santiago
440000	CLP	11,23	57	2	2	Santiago
350000	CLP	8,93	45	1	2	Santiago
500000	CLP	12,76	56	2	2	Santiago
300000	CLP	7,66	23	1	1	Santiago
560000	CLP	14,29	65	1	2	Santiago
430000	CLP	10,98	50	2	2	Santiago
260000	CLP	6,64	35	1	1	Santiago
